(GPS) Geometrical Product Specification,geometrical product specification
ArchiMate,ArchiMate
Architectural Design Process,architectural design process
architectural redesign,architectural redesign
architectural rehabilitation,architectural rehabilitation
architecture,architecture
Architecture,architecture
Architecture based development,architecture based development
Architecture-based design,architecture based design
Archival,archival
Archival System,archival system
archive management,archive management
Arduino,Arduino
AREVA interoperability rich environment,AREVA interoperability rich environment
ARINC 672,ARINC 672
ARIS,ARIS
armament carrier,armament carrier
Artifacts,artifacts
Artificial  Intelligence,artificial intelligence
artificial intelligence,artificial intelligence
Artificial Intelligence (AI),artificial intelligence
Artificial Intelligence (AI) based meta-modelling techniques,artificial intelligence based meta modeling technique
artificial intelligence based metamodelling,artificial intelligence based metamodeling
Artificial neural network,artificial neural network
artificial neural networks,artificial neural network
Arzneimittel-Rabattvertrage (medicine rebate contracts),medicine rebate contract
ASME,ASME
aspheric measurement,aspheric measurement
Aspirator/Compressor,aspirator compressor
Assemblability factors,assemblability factors
assemble to order,assemble to order
Assembly,assembly
Assembly context,assembly context
Assembly Design,assembly design
Assembly feature (AF),assembly feature
Assembly features,assembly feature
Assembly Line,assembly line
Assembly Line Balancing Problem,assembly line balancing problem
Assembly line design,assembly line design
Assembly lines,assembly line
assembly model,assembly model
assembly modeling,assembly modeling
assembly modelling,assembly modeling
Assembly modelling,assembly modeling
Assembly oriented design,assembly oriented design
assembly planning,assembly planning
assembly process,assembly process
Assembly Process Information,assembly process information
Assembly Process Model,assembly process model
Assembly processes,assembly process
Assembly Product Model,assembly product model
assembly reconstruction,assembly reconstruction
Assembly retrieval,assembly retrieval
Assembly Semantics,assembly semantic
Assembly Sequence,assembly sequence
Assembly sequence planning,assembly sequence planning
Assembly Simulation,assembly simulation
Assembly situation,assembly situation
Assembly tasks,assembly tasks
assembly-oriented design,assembly oriented design
Assembly-oriented design,assembly oriented design
assessment,assessment
Assessment method,assessment method
Assessment Model,assessment model
assessment rule,assessment rule
Assessment tool,assessment tool
Assessment tools,assessment tool
asset,asset
Asset Administration Shell,asset administration shell
Asset Configuration Management (ACM),asset configuration management
Asset lifecycle management,asset lifecycle management
Asset Lifecycle Management (ALM),asset lifecycle management
asset management,asset management
Asset management,asset management
asset management (AM),asset management
asset management system,asset management system
asset optimisation,asset optimization
Asset optimization,asset optimization
Assistance System,assistance system
Assistive technology,assistive technology
Associations,association
Associativity,associativity
ASTM F45,ASTM F45
Asynchronous Computer Aided Design.,asynchronous computer aided design
ATHENA,ATHENA
atl,ATL
ATO,assemble to order
ATR spectrum,attenuated total reflection spectrum
attainable sets,attainable set
attitudes,attitude
AudrosBox,AUDROSBOX
augmentation system,augmentation system
Augmented product,augmented product
augmented reality,augmented reality
Augmented Reality,augmented reality
Augmented reality aided manufacturing,augmented reality aided manufacturing
Australia,AUSTRALIA
authentication,authentication
authoring,authoring
authoring methods,authoring method
Authoritative Data,Authoritative Data
auto repair industry,auto repair industry
Automated compliance audit processes,automated compliance audit processes
Automated decision making,automated decision making
automated design systems,automated design system
automated production systems,automated production system
automated report generation,automated report generation
Automatic detection,automatic detection
automatic identification,automatic identification
Automatic synthesis,automatic synthesis
automation,automation
Automation,automation
Automation API,automation application programming interface
Automation system,automation system
Automobile,automobile
automobile industry,automobile industry
Automotive,automotive
automotive composites,automotive composite
automotive design,automotive design
Automotive development,automotive development
automotive electronics,automotive electronics
automotive headlamps,automotive headlamp
Automotive industry,automotive industry
automotive OEMs,automotive original equipment manufacturer
automotive parts industry,automotive part industry
automotive PLM,automotive product lifecycle management
automotive product development,automotive product development
automotive products,automotive product
automotive repairs,automotive repair
Automotive sector,automotive sector
Automotive supply chain,automotive supply chain
automotive suspension systems,automotive suspension system
autonomous,autonomous
Autonomous Logistics,autonomous logistics
Autonomous systems,autonomous systems
Availability contracts,availability contract
avatars,avatar
aviation maintenance,aviation maintenance
aviation MRO,aviation maintenance repair and overhaul
Awareness in design,awareness in design
axiomatic design,axiomatic design
Axiomatic design,axiomatic design
Axiomatic Theory of Design Modeling,axiomatic theory of design modeling
B-Splines,bspline
B/S mode,BS mode
B2B,business to business
Back to the future,back to the future
Balanced Scorecard (BSC),balanced scorecard
ball-end milling,ball end milling
basic needs,basic need
Batik production process,batik production process
Bayesian Networks,bayesian network
beginning-of-life,beginning of life
Behavior,behavior
behavior based adaptive product definition,behavior based adaptive product definition
behavior based engineering,behavior based engineering
behavior based product model,behavior based product model
behavior driven product feature definition,behavior driven product feature definition
Behavioral system model,behavioral system model
Behaviour,behaviour
behaviour model generation,behavior model generation
Behavioural model,behavioural model
behaviours,behavior
Belief network,belief network
Benchmark,benchmark
Benchmark problem,benchmark problem
benchmarking,benchmark
Benchmarking Methodology,benchmarking methodology
bending,bending
benefit,benefit
Benefit Analysis,benefit analysis
Benevolent Production System,benevolent production system
Benevolent system,benevolent system
Bernstein polynomials,bernstein polynomial
BERT,BERT
Best Practice,best practice
best practices,best practice
Bézier curves,bezier curve
Bibliometric analysis,bibliometric analysis
Bibliometrics,bibliometric
bicycle design,bicycle design
bidirectional trade-offs,bidirectional trade off
Big Data,big data
Big data analysis,big data analysis
Big data analytics,big data analytics
Bill of Material,bill of materials
bill of material (BOM),bill of materials
bill of materials,bill of materials
bill of materials,bill of materials
Bill Of Materials (BOM),bill of materials
BIM,building information management
BIM adoption,building information management adoption
BIM benefits,building information management benefits
BIM education and training,building information management education and training
BIM framework,building information management framework
BIM implementation framework,building information management implementation framework
BIM integration,building information management integration
BIM metadata,building information management metadata
BIM model,building information management model
BIM thinking,building information management thinking
BIM(Building Information Management),building information management
BIM(Building Information Model),building information modeling
Bio-Imaging,bioimaging
bio-medical imaging (BMI),biomedical imaging
bio-mimicry,biomimicry
biodiesel,biodiesel
biofuels,biofuel
biomass combustion,biomass combustion
Biomedical,biomedical
Biomedicine,biomedicine
Biomimetics,biomimetic
biotechnology,biotechnology
Blending,blending
blends,blend
BLM,building lifecycle management
Blockchain,blockchain
Blockchain technology,blockchain technology
BMSA,BMSA
board games,board game
Body language,body language
body shape variations,body shape variation
BOL,beginning of life
BOM,bill of materials
BOM (Bill of Materials),bill of materials
BOM management,bill of materials management
BOP,bill of process
bottom-up approach,bottom up approach
Bottom-Up Method,bottom up approach
Boundary representation,boundary representation
boundary spanner,boundary spanner
Bow/Warp Calibration,bow warp calibration
BPM,business process management
BPMN,business process management notation
BPR,business process reengineering
bridging,bridging
brokering adaptation,brokering adaptation
BTOPP framework,benefit tool organization process people framework
budget limitations,budget limitation
Buffer Geometry,buffer geometry
Building,building
building industry,building industry
Building Information,building information
Building Information Model,building information model
Building information modeling,building information modeling
Building information modeling (BIM),building information modeling
Building Information Modelling,building information modeling
Building Information Modelling (BIM),building information modeling
building life cycle,building lifecycle
Building life-cycle stages,building lifecycle stages
Building lifecycle management,building lifecycle management
building rehabilitation,building rehabilitation
Building-related symptoms,building related symptoms
Built environment,built environment
Business Analytics,business analytics
business benefits,business benefit
business co- evolution,business coevolution
Business Co-evolution,business coevolution
Business collaboration,business collaboration
Business Concept,business concept
Business engineering,business engineering
business environments,business environment
Business experiments,business experiment
Business integration,business integration
business intelligence,business intelligence
Business Model,business model
Business model in services,business model in services
Business Models,business model
Business models,business model
Business needs,business need
Business Process,business process
Business process,business process
Business process management,business process management
business process management (BPM),business process management
Business Process Mining,business process mining
Business Process Model - BPM,business process model
business process modeling,business process modeling
business process modelling,business process modeling
Business Process Re-engineering,business process reengineering
Business Process Reengineering,business process reengineering
Business Process Support,business process support
Business Process.,business process
business processes,business process
business referential,business referential
Business Relationships,business relationship
business rules,business rule
business services,business service
business strategies,business strategy
Business strategy,business strategy
business-to-business,business to business
business/IT-alignment,business information technology alignment
Buttery Electric Vehicle,buttery electric vehicle
Buyback policy,buyback policy
Buzzword,buzzword
C-K theory,concept knowledge theory
C-PLM(Construction Project Lifecycle Management),construction project lifecycle management
cable harness design,cable harness design
CAD,computer aided design
CAD assemblies,computer aided design assembly
CAD automation,computer aided design automation
CAD data,computer aided design data
CAD data exchange,computer aided design data exchange
CAD data management,computer aided design data management
CAD database,computer aided design database
CAD documents,computer aided design document
CAD integration of ERP & PLM,computer aided design integration of enterprise resource planning and product lifecycle management
CAD integration of ERP & PLM.,computer aided design integration of enterprise resource planning and product lifecycle management
CAD interface,computer aided design interface
CAD knowledge,computer aided design knowledge
CAD model exchange,computer aided design model exchange
CAD modeling,computer aided design modeling
CAD modelling,computer aided design modeling
CAD models,computer aided design model
CAD parameterization,computer aided design parameterization
CAD platform,computer aided design platform
CAD representation,computer aided design representation
CAD systems,computer aided design system
CAD tools,computer aided design tool
CAD Tools For Early Design,computer aided design tool for early design
CAD training strategy,computer aided design training strategy
CAD-CAM- CNC,computer aided design manufacturing and numerical control
CAD-VR integration,computer aided design and virtual reality integration
CAD/CAE integration,computer aided design and engineering integration
CAD/CAM,computer aided design and manufacturing
cad/cam/cae,computer aided design manufacturing and engineering
CAD/CAPP/CAM,computer aided design process planning and manufacturing
CAD/PDM integration,computer aided design and product data management integration
CADCAM,computer aided design and manufacturing
CADCAM- CNC,computer aided design manufacturing and numerical control
CAE,computer aided engineering
CAE data management,computer aided engineering data management
CAE process,computer aided engineering process
Calibration,calibration
CAM,computer aided manufacturing
Canada,CANADA
Capability analysis,capability analysis
Capability evaluation,capability evaluation
capability maturity,capability maturity
capability maturity assessment,capability maturity assessment
capability maturity model,capability maturity model
Capability maturity model (CMM),capability maturity model
capability maturity model integration,capability maturity model integration
Capital constraints,capital constraints
Capital goods,capital goods
capitalising and reusing knowledge,capitalizing and reusing knowledge
Capitalization,capitalization
CAPP,computer aided process planning
Capstone,capstone
Capturing design process,capturing design process
car body repair,car body repair
car component production,car component production
carbon capture and storage,carbon capture and storage
carbon dioxide,carbon dioxide
carbon emissions,carbon emission
carbon footprint,carbon footprint
carbon trading,carbon trading
Cardinal and ordinal preferences,cardinal and ordinal preference
Cascade use,cascade use
case based reasoning,case based reasoning
Case Company,case Company
case studies,case study
Case studies,case study
case study,case study
Case study mapping,case study mapping
Case study research,case study research
Case-base reasoning,case based reasoning
case-based design,case based design
Case-Based Reasoning,case based reasoning
Case-Based Reasoning (CBR),case based reasoning
casting,casting
cathode ray tube,cathode ray tube
cathode ray tubes,cathode ray tube
CATIA,CATIA
CATIA v5,CATIA
CATIA V6,CATIA
Causal,causal
Causality,causal
CAx,computer aided x
CAx education in industry,computer aided x education in industry
CAx education in universities,computer aided x education in university
CAx job profiles,computer aided x job profile
cDMU,configured digital mokup
CE,concurrent engineering
CE conformity,CE MARKING
CE label,CE MARKING
CE labelling,CE MARKING
CE mark,CE MARKING
Cell culture technology,cell culture technology
Cellular assembly,cellular assembly
Centralized Control of Distributed Data,centralized control of distributed data
centralized database,centralized database
CEPROQHA project,CEPROQHA project
Ceramic material,ceramic material
ceramic tile cluster,ceramic tile cluster
CERN,CERN
Certification,certification
Certification Process,certification process
CFT(Cross Functional Team),cross functional team
CGA,computer generated architecture
Challenge,challenge
Change,change
change affect zone,change affect zone
Change agents,change agents
change chain,change chain
Change Management,change management
Change management at product development,change management in product development
change management in product modeling,change management in product modeling
Change management process,change management process
Change Prediction,change prediction
Change propagation,change propagation
Change Request,change request
Changeability,changeability
Channel strategy,channel strategy
Characteristics and technologies,characteristics and technologies
characterization,characterization
Childrenswear,childrenswear
China,CHINA
Circular design,circular design
circular economy,circular economy
Circular Strategy,circular strategy
Circular value chain,circular value chain
Citation analysis,citation analysis
CityEngine,CITYENGINE
Civil,civil
Civil aircraft maintenance,civil aircraft maintenance
Civil Construction,civil construction
CL2M®,closed loop lifecycle management
Claims,claim
class function,class function
classification,classification
Classification for ALM,classification for application lifecycle management
Classification framework,classification framework
Classification Society,classification Society
Cleaner production,cleaner production
CLIMB,CLIMB
CLIMB model,CLIMB model
Clinical processes,clinical process
close-loop information flow,closed loop information flow
closed loop,closed loop
Closed Loop,closed loop
Closed loop information management,closed loop information management
Closed loop lifecycle management,closed loop lifecycle management
Closed loop manufacturing,closed loop manufacturing
Closed loop PLM,closed loop product lifecycle management
closed- loop systems,closed loop system
closed-loop,closed loop
Closed-Loop Lifecycle Management,closed loop product lifecycle management
Closed-loop manufacturing,closed loop manufacturing
Closed-Loop Manufacturing,closed loop manufacturing
closed-loop PLM,closed loop product lifecycle management
Closed-loop PLM,closed loop product lifecycle management
Closed-loop product lifecycle,closed loop product lifecycle
Closed-loop product lifecycle management systems,closed loop product lifecycle management system
Closed-loop supply chain,closed loop supply chain
Closed-loop supply chains,closed loop supply chain
closed-loop systems,closed loop system
clothing industry,clothing industry
Cloud,cloud
Cloud Computing,cloud computing
Cloud manufacturing,cloud manufacturing
Cloud Platform,cloud platform
Cloud Provisioning,cloud provisioning
Cloud storage,cloud storage
cloud supported collaborative design,cloud supported collaborative design
cluster,cluster
cluster analysis,clustering analysis
clustering,clustering
Clustering Regression Analysis,clustering regression analysis
clustering techniques,clustering technique
CMII,configuration management II
CMM,capability maturity model
CMMI,capability maturity model integration
CNC lathe remanufacturing,computer numerical control lathe remanufacturing
CNC Machine Tools,computer numerical control machine tool
CO emissions,CO2 emissions
co-design,codesign
Co-design platform,codesign platform
co-design platforms,codesign platform
Co-evolution,coevolution
Co-word analysis,coword analysis
CO2,CO2
Coalition,coalition
Coalition game,coalition game
Cobot 3D printing,cobot 3D printing
Cobots,cobot
COCOMO II,constructive cost model II
Coding schemes,coding scheme
Coevolution,coevolution
Cognitive assistant,cognitive assistant
Cognitive dimensions framework,cognitive dimension framework
cognitive work analysis,cognitive work analysis
Coherence,coherence
cohesion,cohesion
Collab- orative design,collaborative design
collaboration,collaboration
Collaboration,collaboration
Collaboration,collaboration
collaboration in design,collaboration in design
Collaboration maturity,collaboration maturity
Collaboration platform,collaboration platform
Collaboration Product Development,collaboration product development
Collaboration Technologies(CT),collaboration technology
Collaboration Workspace,collaboration workspace
collaboration workspaces,collaboration workspace
Collaborative,collaborative
collaborative activity,collaborative activity
Collaborative Aided Design,collaborative aided design
collaborative and distributed design,collaborative and distributed design
collaborative and simultaneous product development,collaborative and simultaneous product development
Collaborative Assembly,collaborative assembly
Collaborative business processes,collaborative business process
Collaborative CAD,collaborative computer aided design
collaborative cluster,collaborative cluster
collaborative commerce,collaborative commerce
collaborative design,collaborative design
Collaborative design,collaborative design
collaborative design and manufacturing,collaborative design and manufacturing
collaborative design community,collaborative design community
collaborative design process,collaborative design process
collaborative engineering,collaborative engineering
Collaborative engineering,collaborative engineering
Collaborative Environment,collaborative environment
Collaborative features,collaborative feature
collaborative innovation,collaborative innovation
Collaborative Knowledge,collaborative knowledge
collaborative knowledge management,collaborative knowledge management
Collaborative learning,collaborative learning
Collaborative life cycle management,collaborative lifecycle management
Collaborative management,collaborative management
collaborative milestone model,collaborative milestone model
collaborative network,collaborative network
collaborative networks,collaborative network
Collaborative parameter,collaborative parameter
Collaborative Platform,collaborative platform
Collaborative platforms,collaborative platform
collaborative PLM,collaborative product lifecycle management
Collaborative process,collaborative process
collaborative process planning,collaborative process planning
Collaborative Product,collaborative product
collaborative product design,collaborative product design
collaborative product development,collaborative product development
Collaborative product development,collaborative product development
Collaborative product development process,collaborative product development process
Collaborative product life-cycle management,collaborative product lifecycle management
Collaborative Product Lifecycle Management,collaborative product lifecycle management
Collaborative product manufacturing,collaborative product manufacturing
collaborative product service,collaborative product service
collaborative project management,collaborative project management
Collaborative recommendation system,collaborative recommendation system
collaborative recommendation systems,collaborative recommendation system
Collaborative robots,collaborative robots
collaborative simulation grid platform,collaborative simulation grid platform
Collaborative smart product and service engineering,collaborative smart product and service engineering
Collaborative supply chain,collaborative supply chain
Collaborative tool,collaborative tool
collaborative tools,collaborative tool
Collaborative virtual prototyping,collaborative virtual prototyping
collaborative work,collaborative work
Collaborative workflow,collaborative workflow
Collaborative Working,collaborative work
COLLADA,COLLADA
collborative engineering,collaborative engineering
collective product model,collective product model
collision checking,collision checking
Collision detection,collision detection
collision-free path finding,collision free path finding
Colloboration,collaboration
Colloborative Product Innovation,collaborative product innovation
Colored Smoke,colored smoke
Columns,columns
Combination Product,combination product
combinatorial geometry,combinatorial geometry
command sequence,command sequence
command sequences,command sequence
Commercial PLM software,commercial product lifecycle management software
Common Area,common area
commonality,commonality
Communicating material,communicating material
Communicating Product Data,communicating product data
communication,communication
communication between engineer and product model,communication between engineer and product model
Communication between engineer and product model generation process,communication between engineer and product model generation process
communication protocol,communication protocol
communication protocols,communication protocol
Communities of practice,communities of practice
company milestone model,company milestone model
company practices,company practice
Comparative analysis,comparative analysis
Comparison,comparison
Comparison framework,comparison framework
Comparison of models,comparison of models
Competence,competence
competence profile,competence profile
Competency mapping,competence mapping
competency model,competence model
competitive advantage,competitive advantage
Competitive Design,competitive design
competitive differentiation,competitive differentiation
competitiveness,competitiveness
Complementary Information Structures,complementary information structure
completion,completion
complex adaptive models,complex adaptive model
Complex Engineering,complex engineering
Complex engineering services,complex engineering service
Complex Machinery,complex machinery
Complex Parts Manufacturing,complex parts manufacturing
Complex problem,complex problem
complex product,complex product
complex product configuration,complex product configuration
Complex product design,complex product design
complex product development,complex product development
Complex product virtual prototype,complex product virtual prototype
complex products,complex product
Complex socio-technical system,complex sociotechnical system
complex system,complex system
Complex Systems,complex system
complexity,complexity
Complexity management,complexity management
compliance,compliance
Compliance,compliance
component,component
component based approach,component based approach
component obsolescence,component obsolescence
component- based PDM,component based product data management
component-based PDM,component based product data management
Component-Based Reconfiguration,component based reconfiguration
Components,component
Composite applications,composite application
composite materials,composite material
Composites,composite
Compromising strategy,compromising strategy
compulsory health insurance funds (CHI),compulsory health insurance fund
Computable legal knowledge,computable legal knowledge
Computational design,computational design
Computational design method,computational design method
computer aided,computer aided
computer aided design,computer aided design
Computer Aided Design (CAD),computer aided design
computer aided engineering,computer aided engineering
Computer aided manufacturing,computer aided manufacturing
Computer aided process planning,computer aided process planning
computer aided tools,computer aided tool
Computer Aided-Design,computer aided design
Computer audit,computer audit
Computer networks,computer network
Computer Numerical Control (CNC),computer numerical control
computer supported cooperative work,computer supported cooperative work
Computer supported engineering design,computer supported engineering design
Computer tools classification,computer tool classification
Computer vision,computer vision
computer-aided design,computer aided design
Computer-Aided Design (CAD),computer aided design
Computer-aided innovation,computer aided innovation
computer-aided process planning,computer aided process planning
Computer-Aided Tolerancing,computer aided tolerancing
computer-aided X,computer aided  X
Computer-supported Collaborative Work (CSCW),computer supported collaborative work
Computers,computer
concept,concept
Concept life cycle,concept lifecycle
Concept maps,concept map
Concept matching,concept matching
concept of collaboration,concept of collaboration
Concepts evaluation,concept evaluation
conceptual design,conceptual design
Conceptual design,conceptual design
conceptual framework,conceptual framework
Conceptual modeling,conceptual modeling
conceptual modelling,conceptual modeling
conceptual models,conceptual model
concrete element,concrete element
concrete elements,concrete element
Concurrent data exchange,concurrent data exchange
concurrent engineering,concurrent engineering
Concurrent engineering (CE),concurrent engineering
Concurrent Engineering Department,concurrent engineering department
concurrent version control,concurrent version control
Condition Monitoring Maintenance,condition monitoring maintenance
Condition-based Maintenance (CBM),condition based maintenance
Conditional Constraint Satisfaction Problem,conditional constraint satisfaction problem
configurable product,configurable product
configuration,configuration
Configuration design method,configuration design method
Configuration estimation method,configuration estimation method
configuration exchange,configuration exchange
Configuration Management,configuration management
Configuration management,configuration management
configuration rules,configuration rule
configuration systems,configuration system
Configuration view,configuration view
Configured Digital Mockup,configured digital mockup
conflict design,conflict design
conflict exchanges lifecycle,conflict exchange lifecycle
conflict management,conflict management
Conflict notification,conflict notification
Conflict solving,conflict solving
conflicts at course definition,conflict at course definition
conformity measures,conformity measure
conformity model,conformity model
congruence,congruence
congruence theorems,congruence theorem
Connected automation,connected automation
connectedgraph model,connected graph model
consensus,consensus
constraint,constraint
Constraint management,constraint management
constraint programming,constraint programming
constraint satisfaction,constraint satisfaction
constraint satisfaction and optimisation,constraint satisfaction and optimization
constraint satisfaction problem,constraint satisfaction problem
Constraint Satisfaction Problem (CSP) solver,constraint satisfaction problem solver
Constraint satisfaction problems (CSP),constraint satisfaction problem
Constraint-based reasoning,constraint based reasoning
constraint-driven,constraint driven
constraint-driven design,constraint driven design
constraints,constraint
Constraints dependences,constraints dependences
Constraints satisfaction problem,constraint satisfaction problem
construction,construction
Construction Company,construction company
construction education,construction education
construction industry,construction industry
construction management body of knowledge,construction management body of knowledge
construction manager (CM),construction manager
Construction player,construction player
Construction project,construction project
Construction projects,construction project
constructive cost model,constructive cost model
Constructive Solid Geometry,constructive solid geometry
Consumer attitude,consumer attitude
consumer devices,consumer device
consumer electronics,consumer electronics
consumer preferences,consumer preference
consumer product reviews,consumer product review
Consumer Products,consumer product
consumer support,consumer support
Consumer-electronic appliances,consumer electronic appliance
Content,content
Content analysis,content analysis
content management,content management
Content management,content management
context,context
Context and action (IBCA) structure,initiative behavior context and action structure
Context awareness,context awareness
context management,context management
Context-awareness,context awareness
contextual product feature,contextual product feature
Continuous engineering,continuous engineering
Continuous Improvement,continuous improvement
continuous improvement,continuous improvement
Continuous Improvement Process,continuous improvement process
Continuous Improvement tool,continuous improvement tool
contraint solving,constraint solving
control,control
control version,control version
Controllability,controllability
coolant,coolant
cooperation,cooperation
Cooperative design,cooperative design
cooperative PLM,cooperative product lifecycle management
Cooperative Service Registries,cooperative service registry
Coordinate Measuring Machine,coordinate measuring machine
Coordinate Measuring Machine (CMM),coordinate measuring machine
coordinated request based product modeling methodology,coordinated request based product modeling methodology
coordination,coordination
coordination management,coordination management
Core Components,core components
core product model,core product model
Core Product Model,core product model
corporate environmental management,corporate environmental management
corporate strategy,corporate strategy
corrective action system,corrective action system
Corrugated Board,corrugated board
Cosmetic industry,cosmetic industry
cost,cost
cost drivers,cost driver
cost estimation,cost estimation
Cost Index Model,cost index model
Cost justification,cost justification
cost maintenance,cost maintenance
Cost model,cost model
Cost modelling,cost modeling
Cost Tools,cost tool
cost trade-offs,cost trade off
Cost-effectiveness,cost effectiveness
Cost-effectiveness analysis,cost effectiveness analysis
cost-function value matrix,cost function value matrix
costs,cost
Coupling,coupling
course management,course management
Coverage and spread ratios,coverage and spread ratios
COVID-19,COVID-19
CPD,collaborative product development
CPD (Collaborative Product Development),collaborative product development
CPI,collaborative product innovation
cplm,construction product lifecycle management
CPLM(Construction Product Lifecycle Management),construction product lifecycle management
CPM,core product model 
CPS,cyber physical system
Craftsmanship,craftsmanship
Creativity,creativity
Credible Commitment,credible commitment
Credible Deterrence,credible deterrence
CRISP-DM,CRISP-DM
criteria,criterion
criterion,criterion
Criticality,criticality
CRM,customer relationship management
Cross-correlation,cross correlation
cross-cultural,cross cultural
cross-organisational collaboration,cross organizational collaboration
cross-organizations,cross organization
Cross-pollination,cross pollination
Crowd intelligence,crowd intelligence
CRT,cathode ray tube
CSCW,computer supported cooperative work
