name;harmonized keywords
adaptive robot control;adaptive robot control
Adaptive robot control;adaptive robot control
Adaptive routing;adaptive routing
adaptive routing;adaptive routing
Adaptive scheduling;adaptive scheduling
adaptive services;adaptive service
Adaptive structure;adaptive structure
adaptive structures;adaptive structure
adaptive supporting systems;adaptive supporting system
Adaptive systems;adaptive system
Adaptive Systems;adaptive system
adaptive systems;adaptive system
Adaptive User Interface;adaptive user interface
adaptive vibration rejection;adaptive vibration rejection
adaptive-workflows;adaptive workflow
adaptiveness;adaptiveness
Adaptivity;adaptivity
Adarsh Gram;Adarsh Gram
Added value;added value
Added Value per Employee;added value per employee
additional medical qualification;additional medical qualification
additive;additive
Additive;additive
additive-based methods of construction;additive based methods of construction
Additive fabrication;additive fabrication
additive layer manufacturing;additive layer manufacturing
Additive manufacture;additive manufacture
additive manufacture;additive manufacture
Additive manufactured textile;additive manufactured textile
Additive manufacturing;additive manufacturing
additive manufacturing;additive manufacturing
Additive Manufacturing;additive manufacturing
Additive manufacturing (AM);additive manufacturing
additive manufacturing (AM);additive manufacturing
Additive manufacturing(AM);additive manufacturing
Additive-manufacturing;additive manufacturing
additve manufacturing;additive manufacturing
AM;additive manufacturing
Additive manufacturing (3D printing);additive manufacturing
Additive manufacturing processes;additive manufacturing process
Additive manufacturing review;additive manufacturing review
Additive manufacturing technologies;additive manufacturing technology
additive manufacturing technologies;additive manufacturing technology
Additive manufacturing technology;additive manufacturing technology
Additive technology;additive technology
Adhesive;adhesive
Adhesive bonding;adhesive bonding
Adjustable mold;adjustable mold
Adjustable Mold;adjustable mold
Adjusted baseline calculation;adjusted baseline calculation
Adjustment;adjustment
Administration Shell;administration Shell
Administrative Shell;administration Shell
administrative shell;administration Shell
administrative transport structures;administrative transport structure
admissible length;admissible length
Adobe;adobe
Adoption;adoption
Adoption challenges;adoption challenge
Adoption of energy-efficient technology;adoption of energy efficient technology
Adoption process;adoption process
adult learning;adult learning
Advance manufacturing;advance manufacturing
Advance Manufacturing Engineering;advance manufacturing engineering
Advance Manufacturing Process;advance manufacturing process
advanced;advanced
Advanced;advanced
Advanced Industrial Engineering;advanced andustrial engineering
Advanced industrial engineering;advanced andustrial engineering
advanced Complexity Management;advanced complexity management
Advanced construction;advanced construction
Advanced control;advanced control
Advanced decision systems;advanced decision system
advanced decision systems.;advanced decision system
advanced design system (ADS);advanced design system
advanced equipment control;advanced equipment control
Advanced geometry;advanced geometry
Advanced human-machine interaction technologies;advanced human machine interaction technology
advanced integrated management system;advanced integrated management system
Advanced Interaction;advanced interaction
advanced interaction;advanced interaction
advanced interconnects;advanced interconnect
advanced joining;advanced joining
Advanced joining;advanced joining
Advanced maintenance;advanced maintenance
advanced management accounting practices;advanced management accounting practice
Advanced manufacturing;advanced manufacturing
Advanced Manufacturing;advanced manufacturing
advanced manufacturing;advanced manufacturing
Advanced manufacturing •;advanced manufacturing
advanced manufacturing.;advanced manufacturing
Advanced manufacturing cloud of things;advanced manufacturing cloud of things
advanced manufacturing enterprise;advanced manufacturing entreprise
advanced manufacturing enterprises;advanced manufacturing entreprise
advanced manufacturing environment;advanced manufacturing environement 
Advanced manufacturing environment;advanced manufacturing environement 
Advanced Manufacturing Environment;advanced manufacturing environement 
Advanced manufacturing equipment;advanced manufacturing equipement
advanced manufacturing industry;advanced manufacturing industry
Advanced manufacturing industry;advanced manufacturing industry
Advanced manufacturing industry base;advanced manufacturing industry base
Advanced Manufacturing Mode;advanced manufacturing mode
advanced manufacturing modes;advanced manufacturing mode
Advanced manufacturing mode diffusion;advanced manufacturing mode diffusion 
Advanced Manufacturing Office;advanced manufacturing office
Advanced manufacturing partnership;advanced manufacturing partnership
Advanced Manufacturing Partnership;advanced manufacturing partnership
Advanced manufacturing process;advanced manufacturing process
advanced manufacturing process;advanced manufacturing process
Advanced manufacturing processes;advanced manufacturing process
Advanced manufacturing services;advanced manufacturing service
AMS;advanced manufacturing solution
Advanced manufacturing system;advanced manufacturing system
advanced manufacturing system (AMS);advanced manufacturing system
Advanced manufacturing system (AMS);advanced manufacturing system
Advanced manufacturing systems;advanced manufacturing system
Advanced Manufacturing Systems (AMS);advanced manufacturing system
Advanced manufacturing systems (AMSs);advanced manufacturing system
Advanced manufacturing techniques;advanced manufacturing technique
advanced manufacturing techniques;advanced manufacturing technique
advance manufacturing technologies;advanced manufacturing technology
Advanced manufacturing technologies;advanced manufacturing technology
advanced manufacturing technologies;advanced manufacturing technology
Advanced Manufacturing Technologies;advanced manufacturing technology
Advanced Manufacturing Technologies - AMT;advanced manufacturing technology
Advanced manufacturing technologies (AMT);advanced manufacturing technology
Advanced manufacturing technology;advanced manufacturing technology
advanced manufacturing technology;advanced manufacturing technology
Advanced Manufacturing Technology;advanced manufacturing technology
advanced manufacturing technology (AMT);advanced manufacturing technology
Advanced manufacturing technology (AMT);advanced manufacturing technology
Advanced Manufacturing Technology (AMT);advanced manufacturing technology
AMT;advanced manufacturing technology
AMTs;advanced manufacturing technology
Advance manufacturing technology (AMT);advanced manufacturing technology
Advanced manufacturing technology assessment;advanced manufacturing technology assessment
AMT justification;advanced manufacturing technology justification
Advanced manufacturing technology selection;advanced manufacturing technology selection
AMT selection;advanced manufacturing technology selection
AMT selection model;advanced manufacturing technology selection model
Advanced manufacturing tools;advanced manufacturing tool
Advanced materials;advanced material
advanced materials;advanced material
Advanced model for covering news digitally;advanced model for covering news digitally
Advanced optical manufacturing;advanced optical manufacturing
Advanced pharmaceutical manufacturing;advanced pharmaceutical manufacturing
advanced pharmaceutical technology;advanced pharmaceutical technology
advanced plastic deformation;advanced plastic deformation
advanced process;advanced process
Advanced process control;advanced process control
Advanced Process Control;advanced process control
advanced process control (APC);advanced process control
Advanced production industry;advanced production industry
Advanced production practices;advanced production practice
Advanced Production Practices;advanced production practice
Advanced programming;advanced programming
Advanced remanufacturing tools;advanced remanufacturing tool
advanced service technology;advanced service technology
advanced sustainable manufacturing systems;advanced sustainable manufacturing system
Advanced sustainable manufacturing systems;advanced sustainable manufacturing system
Advanced tasks;advanced task
Advanced technologies;advanced technology
advanced technology;advanced technology
advanced technology benefits;advanced technology benifit
Advanced technology benefits;advanced technology benifit
Advanced Vocational education;advanced vocational education
ASHSs;advancing scholarship in the humanities and social sciences
Advertising event;advertising event
AEC;AEC 
AECOO;AECOO 
Aerial Sensor Platform;aerial sensor platform
aero engine;aero engine
Aero engine;aero engine
Aero-engine;aero engine
Aerodynamic coefficient;aerodynamic coefficient
Aerodynamic Drag Reduction;aerodynamic drag reduction
Aerogel;aerogel
aeronautic;aeronautic
Aeronautic sector;aeronautic sector
Aeronautical industry;aeronautical industry
aerosol jetting;aerosol jetting
Aerosol jetting;aerosol jetting
Aerospace;aerospace
aerospace;aerospace
Aerospace components;aerospace component
Aerospace industry;aerospace industry
aerospace manufacture;aerospace manufacture
aerospace manufacturing;aerospace manufacturing
Aerospace sheet metal;aerospace sheet metal
aerospace structural assembly;aerospace structural assembly
Affective computing;affective computing
Affordability;affordability
AFMA;AFMA 
Africa;Africa
Age- and stress-based simulation tool;age and stress based simulation tool
agency;agency
agency dilemma;agency dilemma
Agency dilemma;agency dilemma
agency theory;agency theory
Agency theory;agency theory
Agent;agent
agent;agent
Agents;agent
Agent and multi-agents technology;agent and multi agent technology
Agent architecture;agent architecture
Agent-based approach;agent based approach
agent-based control;agent based control
Agent-based manufacturing;agent based manufacturing
agent-based manufacturing scheduling;agent based manufacturing scheduling
Agent-based manufacturing scheduling;agent based manufacturing scheduling
Agent-based model;agent based model
Agent based modeling;agent based modeling
Agent-based scheduling;agent based scheduling
Agent-based services;agent based service
Agent-based simulation;agent based simulation
agent-based software;agent based software
agent-based warehouse control system;agent based warehouse control system
agent collaboration;agent collaboration
Agent collaboration;agent collaboration
Agent Communication Language (ACL);agent communication language 
agent confidentiality;agent confidentiality
agent migration;agent migration
Agent ontology;agent ontology
Agent Oriented Software Engineering (AOSE);agent oriented software engineering 
agent oriented system;agent oriented system
Agent technology;agent technology
agent technology;agent technology
agent trust;agent trust
aggregation;aggregation
Agile;agile
Agile architecture;agile architecture
Agile company;agile company
Agile Factory;agile factory
Agile Manufa cturing;agile intelligent manufacturing
Agile manufacturing;agile manufacturing
Agile Manufacturing;agile manufacturing
agile manufacturing;agile manufacturing
Agile Methods;agile method
agile plug and produce systems;agile plug and produce system
Agile plug and produce systems;agile plug and produce system
Agile production;agile production
Agile software development;agile software development
Agile supply chain;agile supply chain
Agile supply chain (ASC);agile supply chain
Agility;agility
Aging;aging
Aging effect;aging effect
Aging workers;aging worker
AgNWs;AgNWs
Agricultural demonstration park;agricultural demonstration park
Agricultural engineering;agricultural engineering
Agricultural Environmental Data;agricultural environmental data
Agricultural industrialization;agricultural industrialization
agriculture;agriculture
Agriculture;agriculture
Agropreneurship;agropreneurship
Aided system;aided system
Air cargo;air cargo
Air speed;air speed
Air staging;air staging
AIR-unit;air unit
Airbond layer;airbond layer
Airborne Acoustic Emission;airborne acoustic emission
aircraft;aircraft
Aircraft assembly;aircraft assembly
Aircraft engine;aircraft engine
Aircraft frame part;aircraft frame part
Aircraft Health Management;aircraft health management
Aircraft machining parts;aircraft machining part
Aircraft manufacture;aircraft manufacture
Aircraft spare parts;aircraft spare part
Aircraft structure;aircraft structure
airplane design;airplane design
AISI D2 steel;AISI D2 steel
AJAX;AJAX  
aJour telematics;aJour telematics  
Alarm;alarm
alarm data analytics;alarm data analytic
Alexandrina Rizova;Alexandrina Rizova
algorithm;algorithm
Algorithm;algorithm
Algorithms;algorithm
Algortihms;algorithm
Algorithm design and analysis;algorithm design and analysis
algorithmic bias;algorithmic bias
Algorithmic bias;algorithmic bias
algorithmic ethics;algorithmic ethics
Algorithmic ethics;algorithmic ethics
alienation;alienation
Alienation;alienation
Alignment facilitation;alignment facilitation
all-solid-state lithium ion battery;all solid state lithium ion battery
All-solid-state lithium ion battery;all solid state lithium ion battery
Allocation;allocation
Alloys;alloy
Alloys anodes;alloy anode
alloy design;alloy design
Alloy design;alloy design
alternating shielding gases;alternating shielding gase
Alternating shielding gases;alternating shielding gase
Alternatives;alternative
AC;alternative current 
AC drive;alternative current  drive
AC/DC;alternative current and direct current
alternative fuel vehicles;alternative fuel vehicle
alternative machines;alternative machine
Alternative machines;alternative machine
Aluminum;aluminium 
Aluminium alloy;aluminium alloy
Aluminium alloys;aluminium alloy
Aluminum alloy;aluminium alloy
aluminum and magnesium die castings and investment castings;aluminum and magnesium die casting and investment casting
Aluminum and magnesium die castings and investment castings;aluminum and magnesium die casting and investment casting
aluminum industry;aluminum industry
Aluminum matrix composites;aluminum matrix composite
Aluminum workpiece;aluminum workpiece
AMAPs;AMAPs
Ambidexterity;ambidexterity
ambient assisted living;ambient assisted living
ambient intelligence;ambient intelligence
Ambient intelligence;ambient intelligence
(ambient) user experience (UX) design;ambient user experience design
America;America
American applied talents' training model;American applied talents' training model
American manufacturing industry;American manufacturing industry
AMO framework;AMO framework
Amplifier;amplifier
Amway;amway
analitics;analitic
Analog sizing and synthesis;analog sizing and synthesis
Analog to digital;analog to digital
Analog-to-digital conversion;analog to digital conversion
ADC;analog to digital converter
analysis;analysis
Analysis;analysis
ANOVA;analysis of variance
Analytics;analytic
AHP;analytic hierarchy process
Analytic hierarchical process;analytic hierarchy process
Analytic hierarchy process;analytic hierarchy process
analytic hierarchy process;analytic hierarchy process
Analytic Hierarchy Process;analytic hierarchy process
Analytic hierarchy process (AHP);analytic hierarchy process
The Analytic Hierarchy Process;analytic hierarchy process
Analytic network process;analytic network process
analytic network process;analytic network process
Analytic requirements;analytic requirement
Analytical Chemistry;analytical chemistry
Analytical hierarchical process;analytical hierarchy process
Analytical hierarchy process;analytical hierarchy process
Analytical hierarchy process (AHP);analytical hierarchy process
Analytical methods;analytical method
ANDON;ANDON
Android;android
angle of attack;angle of attack
angled-tip fiber probe;angled tip fiber probe
ANN;ANN
Annealing algorithm;annealing algorithm
Annotation system;annotation system
Annular;annular
Anomaliedetektion;anomaly detection
Anomaly detection;anomaly detection
Anomaly Detection;anomaly detection
Anomaly Handling;anomaly handling
Anomaly handling;anomaly handling
anomaly recognition;anomaly recognition
anonymity;anonymity
anonymization;anonymization
Anonymous credentials;anonymous credential
Anonymous Credentials;anonymous credentiala
Anonymous theorem;anonymous theorem
ANP;ANP
Answer set programming;answer set programming
ant colony optimisation;ant colony optimization
Ant colony optimization;ant colony optimization
ant colony optimization;ant colony optimization
Antenna;antenna
antennas;antenna
Antennas;antenna
antenna breadboard;antenna breadboard
Antenna breadboard;antenna breadboard
antenna feeds;antenna feed
anthropocentrism;anthropocentrism
Anthropocentrism;anthropocentrism
anthropometry;anthropometry
Anthropometry;anthropometry
Anthropomorphism;anthropomorphism
Anti-collision algorithm;anti collision algorithm
Anti-countefeiting;anti countefeiting
Anti-counterfeiting;anti countefeiting
anti-counter-rotating vortices;anti counter rotating vortice
Anti-counter-rotating vortices;anti counter rotating vortice
Anti-fatigue optimization design;anti fatigue optimization design
Anticipation;anticipation
Anticipation of new technologies;anticipation of new technology
Anticipatory control;anticipatory control
factor VIII;antihemophilic factor A
Factor VIII;antihemophilic factor A
Anylogic;anylogic
Anything Relationship Management;anything relationship management
AOGE;AOGE
AOI;AOI 
AP2242;AP2243 
AP238;AP239 
APA's;APA
Apache Cassandra;apache cassandra
Apache Flink;apache flink
Apache Hive;apache hive
Apache Qpid;apache qpid
Apache Spark;apache spark
APC;APC 
APCS;APC 
aperture coupled;aperture coupled
Aperture coupled;aperture coupled
App;apparel 
app-based approach for industry;apparel based approach for industry
Apparel industry;apparel industry
App Marketplace;apparel marketplace
App marketplace;apparel marketplace
apparel's style knowledge database;apparel's style knowledge database
Apparent wind angle (AWA);apparent wind angle 
Apparent Wind Speed (AWS);apparent wind speed 
Application;application
application;application
applications;application
Applications;application
Application and development;application and development
Application framework;application framework
Application Innovation;application Innovation
Application integration;application integration
Application maturity;application maturity
Application mode;application mode
Application of mechatronic principles;application of mechatronic principle
Application-oriented;application oriented
Application-oriented RAMI 4.0;application oriented reference architectural model industrie 4.0 
Application protocol;application protocol
application protocol;application protocol
Application protocols;application protocol
Application Protocols;application protocol
Application Software;application sotware
Application-specific integrated circuit (ASIC);application specific integrated circuit 
Application talent;application talent
applied innovative talents;applied innovative talent
applied talents;applied talent
Applied talents;applied talent
applied universities and colleges;applied universitie and college
Apprenticeships;apprenticeship
approximate method;approximate method
approximation model;approximation model
AQUA;aqua
aqua regia;aqua regia
Aquaponics;aquaponic
Aqueous Solution Chemistry;aqueous solution chemistry
Archaeology;archaeology
architected design;architected design
Architected materials;architected material
Architectural framework;architectural framework
Architectural model;architectural model
Architectural models;architectural model
Architecture;architecture
architecture;architecture
Architectures;architecture
architectures;architecture
Architecture analysis & design language;architecture analysis and design language
Architecture Design;architecture design
Architecture design;architecture design
Architecture of ERP systems;architecture of enterprise resource planning system
Architectures and models for intelligent manufacturing systems;architectures and model for intelligent manufacturing system
Arduino;Arduino
or DfM - area in product development and application in manufacturing sectors;area in product development and application in manufacturing sector
Argentina;Argentina
ARIMA Forecasting;ARIMA Forecasting
arithmetic coding;arithmetic coding
ARM;Arm
ARM architecture;ARM architecture
Arrangement of contacts;arrangement of contact
arresters;arrester
Arrowhead;arrowhead
Arrowhead Framework;arrowhead framework
Artificial Arm;artificial Arm
Artificial energy systems;artificial energy system
Artificial immune system;artificial immune system
Artificial intelligence;artificial intelligence
artificial intelligence;artificial intelligence
Artificial Intelligence;artificial intelligence
Artificial intelligence (AI);artificial intelligence
Artificial Intelligence (AI);artificial intelligence
AI(Artificial intelligent);artificial intelligent 
Al;artificial intelligent 
Al:ZnO;artificial intelligent  ZnO
AI model of the Internet-like brain;artificial intelligent model of the internet like brain
Artificial neural network;artificial neural network
Artificial neural networks;artificial neural network
Artificial Neural Networks;artificial neural network
ARToolKit;ARToolKit
As-built porosity;as built porosity
Ash behavior;ash behavior
Ash melting point;ash melting point
Asia;Asia
APIC-IST 2015;Asia pacific international conference on information science and technology
ASME Y14.5M;ASME 
aspect ratio;aspect ratio
aspheric glass lens;aspheric glass lens
Assembly;assembly
assembly;assembly
Assembly assistance;assembly assistance
assembly automation;assembly automation
Assembly automation;assembly automation
Assembly Capabilities;assembly capabilitie
assembly cell;assembly cell
Assembly cell;assembly cell
assembly cell system;assembly cell system
Assembly design;assembly design
assembly direction;assembly direction
Assembly fixtures;assembly fixture
assembly information systems;assembly information system
assembly joint;assembly joint
Assembly Line;assembly line
Assembly line balancing;assembly line balancing
Assembly planning;assembly planning
assembly process;assembly process
Assembly Robots;assembly robot
assembly sequence planning;assembly sequence planning
Assembly sequence planning;assembly sequence planning
assembly stability;assembly stability
assembly system;assembly system
Assembly system;assembly system
assembly system design;assembly system design 
Assembly systems of mechanical products;assembly system of mechanical product
Assembly System Planning Methodology;assembly system planning methodology
Assembly technologies;assembly technology
Assembly Time;assembly time
Assembly tracking;assembly tracking
assembly work;assembly work
Assembly workplace;assembly workplace
Assembly Workplace;assembly workplace
assessment;assessment
Assessment;assessment
assessment criteria;assessment criteria
assessment index;assessment index
assessment method;assessment method
Assets;asset
assets;asset
asset administration;asset administration
AAS;asset administration shell 
asset management;asset management
Asset Performance Management;asset performance management
Assist device;assist device
Assistance;assistance
Assistance services;assistance service
assistance service planning method;assistance service planning method
assistance system;assistance system
Assistance System;assistance system
Assistance systems;assistance system
Assistant System;assistance system
Assisted;assisted
Assistive Technologies;assistive Technology
Association analysis;association analysis
association analysis;association analysis
VDI 5600;association of German engineers
VDMA;association of German mechanical and plant engineering
Asynchronous parallel;asynchronous parallel
Ateneu de Fabricació Les Corts;ateneu de Fabricacio les cort
Ateneu de Fabricacio Les Corts;ateneu de Fabricacio les cort
athermal machining;athermal machining
Atomic force microscope;atomic force microscope
atomic layer deposition (ALD);atomic layer deposition 
atomic manufacturing;atomic manufacturing
Attack;attack
attack detection;attack detection
Attack detection;attack detection
attainable set;attainable set
Attainable set;attainable set
Attention-to-detail;attention to detail
attitude;attitude
Attitude;attitude
Attribute Certificate;attribute certificate
auctions;auction
Audit;audit
augmented;augmented
Augmented Reality;augmented reality
Augmented reality;augmented reality
augmented reality;augmented reality
Augmented reality (AR);augmented reality
AugmentedReality;augmented reality
AURA;augmented reality artwork
Augmented reality smart glasses;augmented reality smart glasse
Augmented workplaces;augmented workplace
AURIX;AURIX
Aurora;Aurora
Austenitic stainless steel;austenitic stainless steel
Authentication;authentication
authentication;authentication
Authorization;authorization
Auto body welding line;auto body welding line
Auto companies;auto companie
Auto parts;auto part
Auto Test Generation;auto test generation
AutoCAD;AutoCAD
Autoclave age forming;autoclave age forming
Autocollimator;autocollimator
Autodesk;autodesk
Autogenous weld;autogenous weld
Automakers;automaker
Automata;Automata
automated;automated
Automated and semi-automated model generation;automated and semi automated model generation
Automated and semi-Automated model generation;automated and semi automated model generation
Automated construction;automated construction
Automated Decision Support Systems;automated decision support system
automated design systems;automated design system
AGV;automated guided vehicle
AGVs;automated guided vehicle
Automated guided vehicle (AGV);automated guided vehicle
Automated Guided Vehicles;automated guided vehicle
AGV routing;automated guided vehicle routing
automated inspection;automated inspection
Automated inspection;automated inspection
Automated Laser Guided Vehicles;automated laser guided vehicle
Automated manufacturing systems;automated manufacturing system
